node,Degree Centrality,Betweenness Centrality,Eigenvector Centrality
Clinton,0.7934782608695652,0.7326115395991173,0.5396411017194012
Bush,0.22826086956521738,0.08769367278684047,0.28464303308735295
Trump,0.18478260869565216,0.020877983300343586,0.2827424498442827
Cruz,0.17391304347826086,0.034759288330716884,0.25229399806681313
Donald Trump,0.16304347826086957,0.011801242236024845,0.2629740699317783
Hillary Clinton,0.15217391304347827,0.006564398334584669,0.23933244895339587
Hillary,0.08695652173913043,0.001475439674197438,0.14466505551643447
Obama,0.07608695652173914,0.0,0.15635334780621502
Kasich,0.07608695652173914,0.0,0.15761254856630183
Ted Cruz,0.07608695652173914,3.981525720656155e-05,0.17897309594093153
Boehner,0.06521739130434782,0.058050645007166744,0.008595636485588455
Marco Rubio,0.06521739130434782,0.0,0.15950403769619606
Ryan,0.06521739130434782,0.07566889632107023,0.08611697149409278
Clintons,0.06521739130434782,7.96305144131231e-05,0.09727416996216005
Jeb Bush,0.05434782608695652,0.0,0.1436558969607181
Carson,0.05434782608695652,0.0,0.0796347748079652
Romney,0.05434782608695652,0.0,0.10755244725018208
Paul,0.05434782608695652,0.019589106545628284,0.05261798586679543
Abedin,0.05434782608695652,0.019589106545628284,0.06706060770810877
Fiorina,0.043478260869565216,0.0,0.050060101316119786
Bernie Sanders,0.043478260869565216,0.0,0.11730287800945602
Reagan,0.03260869565217391,0.0,0.05242890970682765
McConnell,0.03260869565217391,0.0,0.0008351121822483834
Ben Carson,0.03260869565217391,0.0,0.09533236678770239
Bill Clinton,0.03260869565217391,0.0,0.07759306062318752
Johnson,0.03260869565217391,0.0,0.05242890970682765
Chris Christie,0.021739130434782608,0.0,0.07299160437341534
Bergdahl,0.021739130434782608,0.0,2.6491368617845226e-17
Mateen,0.021739130434782608,0.0,2.6491368617845226e-17
Tai,0.021739130434782608,0.0,2.6491368617845226e-17
Putin,0.021739130434782608,0.0,2.6491368617845226e-17
Davis,0.021739130434782608,0.0,2.6491368617845226e-17
Scalia,0.021739130434782608,0.0,2.6491368617845226e-17
Netanyahu,0.021739130434782608,0.0,2.6491368617845226e-17
Francis,0.021739130434782608,0.0,2.6491368617845226e-17
Buckley,0.021739130434782608,0.0,2.6491368617845226e-17
John Kasich,0.021739130434782608,0.0,0.07012705439011103
George W. Bush,0.021739130434782608,0.0,0.07299160437341534
Barack Obama,0.021739130434782608,0.0,0.06897934783644033
Paul Ryan,0.021739130434782608,0.0,0.055412012780749156
Donald Trump's,0.010869565217391304,0.0,0.04778629197582399
Richard Nixon,0.010869565217391304,0.0,0.04778629197582399
Sidney Blumenthal,0.010869565217391304,0.0,0.04778629197582399
Martin O'Malley,0.010869565217391304,0.0,0.04778629197582399
Jim Webb,0.010869565217391304,0.0,0.04778629197582399
John McCain,0.010869565217391304,0.0,0.04778629197582399
McCarthy,0.010869565217391304,0.0,0.0007611618143841027
Bill,0.010869565217391304,0.0,0.04778629197582399
Rodham,0.010869565217391304,0.0,0.04778629197582399
BlackBerry,0.010869565217391304,0.0,0.04778629197582399
Sullivan,0.010869565217391304,0.0,0.04778629197582399
Pagliano,0.010869565217391304,0.0,0.04778629197582399
Marco,0.010869565217391304,0.0,0.02520531239759135
Powell,0.010869565217391304,0.0,0.04778629197582399
Vladimir Putin,0.010869565217391304,0.0,0.04778629197582399
Gowdy,0.010869565217391304,0.0,0.04778629197582399
Blumenthal,0.010869565217391304,0.0,0.04778629197582399
Bannon,0.010869565217391304,0.0,0.04778629197582399
Williams,0.010869565217391304,0.0,0.04778629197582399
Gore,0.010869565217391304,0.0,0.04778629197582399
Murphy,0.010869565217391304,0.0,0.02520531239759135
Jordan,0.010869565217391304,0.0,0.04778629197582399
Hillary Rodham,0.010869565217391304,0.0,0.04778629197582399
Huma,0.010869565217391304,0.0,0.0059382727658630965
Christopher Stevens,0.010869565217391304,0.0,0.04778629197582399
Al Gore,0.010869565217391304,0.0,0.04778629197582399
Rand Paul,0.010869565217391304,0.0,0.004659330162166567
Lewinsky,0.010869565217391304,0.0,0.04778629197582399
Stevens,0.010869565217391304,0.0,0.04778629197582399
Hillary Clinton's,0.010869565217391304,0.0,0.04778629197582399
Sanders,0.010869565217391304,0.0,0.04778629197582399
Jeb,0.010869565217391304,0.0,0.02520531239759135
John Boehner,0.010869565217391304,0.0,0.0007611618143841027
Warren,0.010869565217391304,0.0,0.04778629197582399
Wasserman Schultz,0.010869565217391304,0.0,0.04778629197582399
Biden,0.010869565217391304,0.0,0.04778629197582399
Hillary Rodham Clinton,0.010869565217391304,0.0,0.04778629197582399
Whitewater,0.010869565217391304,0.0,0.04778629197582399
Monica Lewinsky,0.010869565217391304,0.0,0.04778629197582399
Osama bin Laden,0.010869565217391304,0.0,0.04778629197582399
Mike Pence,0.010869565217391304,0.0,0.04778629197582399
Blackberry,0.010869565217391304,0.0,0.04778629197582399
Elizabeth Warren,0.010869565217391304,0.0,0.04778629197582399
Robby Mook,0.010869565217391304,0.0,0.04778629197582399
Politico,0.010869565217391304,0.0,0.04778629197582399
Kennedy,0.010869565217391304,0.0,0.04778629197582399
Tim Kaine,0.010869565217391304,0.0,0.04778629197582399
Kaine,0.010869565217391304,0.0,0.04778629197582399
Joe Biden,0.010869565217391304,0.0,0.04778629197582399
John Podesta,0.010869565217391304,0.0,0.04778629197582399
Comey,0.010869565217391304,0.0,0.04778629197582399
Michelle Obama,0.010869565217391304,0.0,0.04778629197582399
Bernie,0.010869565217391304,0.0,0.04778629197582399
